addressbookpage.cpp,addressbookpage.cpp,124,1352,30
addresstablemodel.cpp,addresstablemodel.cpp,420,1472,46
askpassphrasedialog.cpp,askpassphrasedialog.cpp,16,744,7
bitcoin.cpp,bitcoin.cpp,420,1612,35
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,4,60,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,192,664,36
bitcoingui.cpp,bitcoingui.cpp,64,3980,25
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,4,940,3
clientmodel.cpp,clientmodel.cpp,252,472,12
csvmodelwriter.cpp,csvmodelwriter.cpp,52,300,48
editaddressdialog.cpp,editaddressdialog.cpp,4,536,3
guiutil.cpp,guiutil.cpp,4,476,3
main.cpp,main.cpp,24,57072,17
notificator.cpp,notificator.cpp,4,312,3
optionsdialog.cpp,optionsdialog.cpp,4,824,3
optionsmodel.cpp,optionsmodel.cpp,168,456,20
overviewpage.cpp,overviewpage.cpp,4,1040,3
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,4,184,3
qvaluecombobox.cpp,qvaluecombobox.cpp,4,104,3
rpcconsole.cpp,rpcconsole.cpp,388,1164,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,60,1716,12
sendcoinsentry.cpp,sendcoinsentry.cpp,4,896,3
transactiondesc.cpp,transactiondesc.cpp,4,6776,3
transactiondescdialog.cpp,transactiondescdialog.cpp,4,188,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,4,512,3
transactionrecord.cpp,transactionrecord.cpp,4,640,3
transactiontablemodel.cpp,transactiontablemodel.cpp,676,1540,71
transactionview.cpp,transactionview.cpp,4,2128,3
walletmodel.cpp,walletmodel.cpp,208,692,12
test_main.cpp,test_main.cpp,208,44,16
uritests.cpp,uritests.cpp,4,388,3
util.cpp,util.cpp,20,25444,16
net.cpp,net.cpp,840,50284,42
protocol.cpp,protocol.cpp,336,15880,26
util.cpp,util.cpp,584,25444,38
script.cpp,script.cpp,20,40268,16
base58_tests.cpp,base58_tests.cpp,8,372,5
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,52,32,19
key_tests.cpp,key_tests.cpp,40,28,27
miner_tests.cpp,miner_tests.cpp,1416,24,6
multisig_tests.cpp,multisig_tests.cpp,36,40,11
rpc_tests.cpp,rpc_tests.cpp,72,132,32
script_tests.cpp,script_tests.cpp,88,132,24
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
test_bitcoin.cpp,test_bitcoin.cpp,44,64,13
transaction_tests.cpp,transaction_tests.cpp,128,8,5
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
util_tests.cpp,util_tests.cpp,1184,12,8
crypter.cpp,crypter.cpp,144,9920,40
db.cpp,db.cpp,688,39024,503
init.cpp,init.cpp,440,42908,38
rpcdump.cpp,rpcdump.cpp,1140,37952,30
wallet.cpp,wallet.cpp,424,45624,56
walletdb.cpp,walletdb.cpp,20,41024,15
