wallet.cpp,wallet.cpp,4,424,3
fees.cpp,fees.cpp,1796,216,29
transactiondesc.cpp,transactiondesc.cpp,4,4,4
transactiondescdialog.cpp,transactiondescdialog.cpp,4,4,4
transactionfilterproxy.cpp,transactionfilterproxy.cpp,4,4,4
transactionrecord.cpp,transactionrecord.cpp,4,4,4
transactiontablemodel.cpp,transactiontablemodel.cpp,648,648,395
transactionview.cpp,transactionview.cpp,4,4,4
utilitydialog.cpp,utilitydialog.cpp,1416,1416,1416
walletframe.cpp,walletframe.cpp,4,4,4
walletmodel.cpp,walletmodel.cpp,140,152,139
walletmodeltransaction.cpp,walletmodeltransaction.cpp,4,4,4
walletview.cpp,walletview.cpp,4,4,4
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
addressbooktests.cpp,addressbooktests.cpp,4,4,4
compattests.cpp,compattests.cpp,4,4,4
paymentservertests.cpp,paymentservertests.cpp,56,32,29
rpcnestedtests.cpp,rpcnestedtests.cpp,52,28,25
test_main.cpp,test_main.cpp,196,208,133
uritests.cpp,uritests.cpp,4,4,4
util.cpp,util.cpp,20,20,20
util.cpp,util.cpp,20,584,14
wallettests.cpp,wallettests.cpp,4,4,4
blockchain.cpp,blockchain.cpp,2976,2704,644
client.cpp,client.cpp,224,176,173
mining.cpp,mining.cpp,1792,1652,442
misc.cpp,misc.cpp,680,924,418
net.cpp,net.cpp,616,840,359
protocol.cpp,protocol.cpp,384,336,333
rawtransaction.cpp,rawtransaction.cpp,1604,1500,545
server.cpp,server.cpp,632,624,303
util.cpp,util.cpp,308,20,7
util.cpp,util.cpp,308,584,304
descriptor.cpp,descriptor.cpp,20,56,17
interpreter.cpp,interpreter.cpp,1796,1804,1314
ismine.cpp,ismine.cpp,28,28,28
script.cpp,script.cpp,20,20,20
script_error.cpp,script_error.cpp,28,28,28
sigcache.cpp,sigcache.cpp,28,28,28
sign.cpp,sign.cpp,1268,1012,426
standard.cpp,standard.cpp,972,856,259
cleanse.cpp,cleanse.cpp,28,28,28
lockedpool.cpp,lockedpool.cpp,2120,2164,1982
addrman_tests.cpp,addrman_tests.cpp,188,176,131
allocator_tests.cpp,allocator_tests.cpp,8,8,8
amount_tests.cpp,amount_tests.cpp,4,4,4
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,8,8,8
base64_tests.cpp,base64_tests.cpp,4,4,4
bech32_tests.cpp,bech32_tests.cpp,52,52,52
bip32_tests.cpp,bip32_tests.cpp,112,112,112
blockchain_tests.cpp,blockchain_tests.cpp,1872,1872,1872
blockencodings_tests.cpp,blockencodings_tests.cpp,140,140,140
bloom_tests.cpp,bloom_tests.cpp,4,4,4
bswap_tests.cpp,bswap_tests.cpp,4,4,4
checkqueue_tests.cpp,checkqueue_tests.cpp,452,452,452
coins_tests.cpp,coins_tests.cpp,664,664,664
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
cuckoocache_tests.cpp,cuckoocache_tests.cpp,56,32,26
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
denialofservice_tests.cpp,denialofservice_tests.cpp,92,104,42
descriptor_tests.cpp,descriptor_tests.cpp,4,4,4
getarg_tests.cpp,getarg_tests.cpp,52,52,52
hash_tests.cpp,hash_tests.cpp,8,8,8
key_io_tests.cpp,key_io_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,124,124,124
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,596,596,596
merkleblock_tests.cpp,merkleblock_tests.cpp,4,4,4
miner_tests.cpp,miner_tests.cpp,1432,1416,1415
multisig_tests.cpp,multisig_tests.cpp,36,36,36
net_tests.cpp,net_tests.cpp,164,164,164
netbase_tests.cpp,netbase_tests.cpp,60,60,60
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
raii_event_tests.cpp,raii_event_tests.cpp,4,4,4
random_tests.cpp,random_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,72,72,72
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_p2sh_tests.cpp,script_p2sh_tests.cpp,44,44,44
script_standard_tests.cpp,script_standard_tests.cpp,4,4,4
script_tests.cpp,script_tests.cpp,88,88,88
scriptnum_tests.cpp,scriptnum_tests.cpp,700,700,700
serialize_tests.cpp,serialize_tests.cpp,92,92,92
sighash_tests.cpp,sighash_tests.cpp,260,260,260
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
streams_tests.cpp,streams_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
torcontrol_tests.cpp,torcontrol_tests.cpp,92,92,92
transaction_tests.cpp,transaction_tests.cpp,128,128,128
txindex_tests.cpp,txindex_tests.cpp,8,8,8
txvalidation_tests.cpp,txvalidation_tests.cpp,8,8,8
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,472,152,151
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1600
util_tests.cpp,util_tests.cpp,1184,1184,1184
validation_block_tests.cpp,validation_block_tests.cpp,216,216,216
versionbits_tests.cpp,versionbits_tests.cpp,760,760,760
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,1836,1836,1836
univalue_get.cpp,univalue_get.cpp,2688,2688,2688
univalue_read.cpp,univalue_read.cpp,5360,5360,5360
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
no_nul.cpp,no_nul.cpp,40,40,40
object.cpp,object.cpp,904,904,904
test_json.cpp,test_json.cpp,60,60,60
unitester.cpp,unitester.cpp,5312,5296,4339
coincontrol.cpp,coincontrol.cpp,4,4,4
coinselection.cpp,coinselection.cpp,368,368,368
crypter.cpp,crypter.cpp,144,144,144
db.cpp,db.cpp,580,688,527
feebumper.cpp,feebumper.cpp,4,4,4
fees.cpp,fees.cpp,216,216,216
init.cpp,init.cpp,540,520,178
rpcdump.cpp,rpcdump.cpp,472,1140,179
rpcwallet.cpp,rpcwallet.cpp,7704,2940,348
wallet.cpp,wallet.cpp,444,424,153
walletdb.cpp,walletdb.cpp,88,20,16
walletutil.cpp,walletutil.cpp,60,168,59
coinselector_tests.cpp,coinselector_tests.cpp,312,316,309
psbt_wallet_tests.cpp,psbt_wallet_tests.cpp,16,4,3
wallet_crypto_tests.cpp,wallet_crypto_tests.cpp,112,112,112
wallet_test_fixture.cpp,wallet_test_fixture.cpp,4,4,4
wallet_tests.cpp,wallet_tests.cpp,344,528,88
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,4,4,4
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,20,20,20
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,220,220,220
zmqrpc.cpp,zmqrpc.cpp,16,16,16
